Indicator_name,Provenance,Date,File_name,Include in synthesis,Do plots,Regions available?,WhyLeaveOutFromSlopeSynthesis,SupersededBy,DataColumn,CoreHighlightOther,WholeOrPartOfIndicatorData,HiOrLoBetter,Name_for_plot,ebvClass,EbvClass_reason,ebvScale,Representative_fundamental,Sensitive,Underpin_NCP,PristineValue,AllGoneValue,Rescaled name,TMF,PlotColour,FillColour,GlobalNoPartlyYes,Detail available at,Notes
Terrestrial LPI,,,Terrestrial_LPI.csv,Yes,Yes,,,,2,Other,Part,High,Living Planet Index (terrestrial),Species populations,,1. Abundance,Yes,Yes,No,NA,0,,T,brown,white,Yes,,
Madingley functional richness (50%quantile),,10/10/2018,Madingley_functional_richness_revised1018.csv,Yes,Yes,,,,2,Other,Whole,High,Functional richness (Madingley),Species traits,,,Yes,No,No,NA,0,,T,brown,brown,Yes,,
Madingley functional dissimilarity (50%quantile),,10/10/2018,Madingley_functional_dissimilarity_revised1018.csv,Yes,Yes,,,,3,Other,Whole,High,Functional intactness (Madingley),Community composition,,0. Regional,Yes,No,No,NA,0,,T,brown,brown,Yes,,
Tree cover change (Song),https://www.nature.com/articles/s41586-018-0411-9,10/10/2018,TreeCoverChange_Song.csv,Yes,Yes,,,,2,Other,Whole,High,Tree cover,Ecosystem structure,,,Yes,No,No,62494.46494,0,,T,brown,brown,Yes,,Pristine value is obtained by using Crowther et al. 2015
Mean Species Abundance LU+CC,Aafke,12/10/2018,GLOBIO-results_LUCC_global.csv,Yes,Yes,,,MSA_LU_CC,2,Other,Whole,High,MSA index (GLOBIO),Community composition,,1. Local,Yes,No,No,1,0,,T,brown,brown,Yes,,
Mean Species Abundance LU,Aafke,12/10/2018,GLOBIO-results_LU_global.csv,No,Yes,,Only land use,,2,Other,Part,High,,Community composition,,,Yes,No,No,,,,,brown,white,,,
Mean Species Abundance CC,Aafke,12/10/2018,GLOBIO-results_CC_global.csv,No,Yes,,Only climate change,,2,Other,Part,High,,Community composition,,,Yes,No,No,,,,,brown,white,,,
Marine wilderness %,Jones et al 2018: https://doi.org/10.1016/j.cub.2018.06.010,15/10/2018,Marine_wilderness_Jones2018.csv,Yes,Yes,,,,2,Other,Whole,High,Extent of marine wilderness,Ecosystem structure,,,No,Yes,No,100,0,,M,blue,blue,Yes,,
Permanent surface water extent,http://www.nature.com.lib-ezproxy-live.nhm.ac.uk:2048/articles/nature20584#f2,22/10/2018,Surface_water_extent_Pekel.csv,Yes,Yes,,,,2,Other,Whole,High,Permanent surface water extent,Ecosystem structure,,,Yes,No,Yes,NA,0,,F,orange,orange,Yes,,
Seasonal surface water extent,,22/10/2018,Surface_water_extent_Pekel.csv,No,No,,Largely an anthrome (paddy),,3,Other,Whole,High,Seasonal surface water extent,Ecosystem structure,,,Yes,No,Yes,,,,,orange,orange,,,
Marine LPI,Louise McRae,25/10/2018,Marine_LPI_LPR16.csv,Yes,Yes,,,,2,Other,Part,High,Living Planet Index (marine),Species populations,,1. Abundance,Yes,Yes,No,NA,0,,M,blue,white,Yes,,
Leaf Area Index,Kazu,26/10/2018,LAI_gimms3g.csv,Yes,Yes,Yes,,,2,Other,Whole,High,Leaf Area Index,Ecosystem structure,,,Yes,No,No,NA,0,,T,brown,brown,Yes,,
Seagrass meadow extent,Andy,26/10/2018,SeagrassAreaKm2.csv,Yes,Yes,?,,,5,Other,Whole,High,Seagrass meadow area,Ecosystem structure,,,Yes,Yes,No,322063.823,0,,M,blue,blue,Yes,,http://www.pnas.org/content/suppl/2009/07/08/0905620106.DCSupplemental/0905620106SI.pdf#nameddest=STXT
Wild mammal biomass,Andy,26/10/2018,Wild mammal biomass.csv,Yes,Yes,No,,,2,Other,Whole,High,Wild mammal biomass,Species populations,,1. Abundance,No,No,Yes,0.04,0,,TMF,black,black,Yes,,"Pristine value is from same paper, Fig S5 and associated text"
Vertebrate habitat (BILBI),Tom Harwood,26/10/2018,BHI_vertebrates.csv,No,Yes,No,,,2,Core,Part,High,BHI (vertebrate habitat integrity),Ecosystem structure,,,Yes,No,No,1,0,,T,brown,white,Yes,,
Vertebrate richness (BILBI,Tom Harwood,26/10/2018,BHI_vertebrates.csv,No,Yes,No,,,3,Core,Part,High,BHI (vertebrate species persisting),Species populations,,3. Existence,Yes,No,No,1,0,,T,brown,white,Yes,,
Plant habitat (BILBI),Tom Harwood,01/10/2018,BHI_plants.csv,No,Yes,No,,,2,Core,Part,High,BHI (plant habitat integrity),Ecosystem structure,,,Yes,No,No,1,0,,T,brown,white,Yes,,
Plant richness (BILBI),Tom Harwood,01/10/2018,BHI_plants.csv,No,Yes,No,,,3,Core,Part,High,BHI (plant species persisting),Species populations,,3. Existence,Yes,No,No,1,0,,T,brown,white,Yes,,
Invertebrate habitat (BILBI),Tom Harwood,29/10/2018,BHI_inverts.csv,No,Yes,No,,,2,Core,Part,High,BHI (invertebrate habitat integrity),Ecosystem structure,,,Yes,No,No,1,0,,T,brown,white,Yes,,
Invertebrate richness (BILBI,Tom Harwood,29/10/2018,BHI_inverts.csv,No,Yes,No,,,3,Core,Part,High,BHI (invertebrate species persisting),Species populations,,3. Existence,Yes,No,No,1,0,,T,brown,white,Yes,,
All-taxa habitat (BILBI),Tom Harwood,29/10/2018,BHI_all_taxa.csv,Yes,Yes,No,,,2,Core,Whole,High,BHI (overall habitat integrity),Ecosystem structure,,,Yes,No,No,1,0,,T,brown,brown,Yes,,
All-taxa richness (BILBI),Tom Harwood,29/10/2018,BHI_all_taxa.csv,Yes,Yes,No,,,3,Core,Whole,High,Biodiversity Habitat Index (species persisting),Species populations,,3. Existence,Yes,No,No,1,0,,T,brown,brown,Yes,,
All-taxa habitat (BILBI) - hotspots,Tom Harwood,29/10/2018,BHI_all_taxa.csv,Yes,Yes,No,,,4,Core,Part,High,BHI (overall habitat integrity) - Hotspots,Ecosystem structure,,,Yes,No,No,1,0,,T,brown,white,Yes,,
All-taxa richness (BILBI) - hotspots,Tom Harwood,29/10/2018,BHI_all_taxa.csv,Yes,Yes,No,,,5,Core,Part,High,BHI (species persisting) - Hotspots,Species populations,,3. Existence,Yes,No,No,1,0,,T,brown,white,Yes,,
Freshwater MSA,Jan Janse,31/10/2018,Freshwater_MSA.csv,No,No,No,Can't use it,,2,Other,Whole,High,Freshwater MSA,Community composition,,1. Local,Yes,No,No,100,0,,T,orange,orange,Yes,,
GPP (PgC/yr),Kazu,03/11/2018,Trendy_Indicators_20181104_1860to2015.csv,No,No,No,,,2,Other,Part,High,Terrestrial GPP (model ensemble),Ecosystem function,,,Yes,No,No,102.854286,0,,T,brown,brown,Yes,,"Pristine value is for 1860, the first year of the model run"
NPP (PgC/yr),Kazu,03/11/2018,Trendy_Indicators_20181104_1860to2015.csv,Yes,Yes,No,,,3,Other,Whole,High,Terrestrial NPP (model ensemble),Ecosystem function,,,Yes,No,No,47.412,0,,T,brown,brown,Yes,,"Pristine value is for 1860, the first year of the model run"
NBP (PgC/yr),Kazu,03/11/2018,Trendy_Indicators_20181104_1860to2015.csv,Yes,Yes,No,,,4,Other,Whole,High,Terrestrial C sequestration (model ensemble),Ecosystem function,,,Yes,No,No,NA,0,,T,brown,brown,Yes,,Not giving a pristine value as this is a net balance and so fluctuates either side of zero
cVeg (PgC),Kazu,03/11/2018,Trendy_Indicators_20181104_1860to2015.csv,Yes,Yes,No,,,5,Other,Whole,High,Vegetation biomass (mechanistic models),Ecosystem structure,,,Yes,No,No,931.3771682,0,,T,brown,brown,Yes,,"Pristine value is for 1860, the first year of the model run"
cSoil (PgC),Kazu,03/11/2018,Trendy_Indicators_20181104_1860to2015.csv,Yes,Yes,No,,,6,Other,Whole,High,Soil organic carbon (mechanistic models),Ecosystem structure,,,Yes,No,No,1320.14286,0,,T,brown,brown,Yes,,"Pristine value is for 1860, the first year of the model run"
Evapotranspiration (1000km3/year),Kazu,03/11/2018,Trendy_Indicators_20181104_1860to2015.csv,Yes,Yes,No,,,7,Other,Whole,High,Evapotranspiration (model ensemble),Ecosystem function,,,Yes,No,No,63.53914286,0,,T,brown,brown,Yes,,"Pristine value is for 1860, the first year of the model run"
Primary vegetation (Hotspots),Aidin,14/11/2018,Coarse_LUH2_hot_ipl.csv,Yes,Yes,No,,,2,Other,Part,High,Remaining primary vegetation (Hotspots),Ecosystem structure,,,Yes,No,No,1,0,,T,brown,white,Yes,,
Primary vegetation (Indigenous lands),Aidin,14/11/2018,Coarse_LUH2_hot_ipl.csv,Yes,Yes,No,,,3,Other,Part,High,Remaining primary vegetation (Indigenous Lands),Ecosystem structure,,,Yes,No,No,1,0,,T,brown,white,Yes,,
MSA,Aidin and Aafke,26/11/2018,MSA_LU_CC.csv,Yes,Yes,Yes,,,2,Other,Whole,High,Mean Species Abundance index,Community composition,,1. Local,Yes,No,No,1,0,,T,brown,brown,Yes,,
MSA (hotspots),Aidin and Aafke,26/11/2018,MSA_LU_CC.csv,Yes,Yes,Yes,,,3,Other,Part,High,Mean Species Abundance index (Hotspots),Community composition,,1. Local,Yes,No,No,1,0,,T,brown,white,Yes,,
MSA (IL),Aidin and Aafke,26/11/2018,MSA_LU_CC.csv,Yes,Yes,Yes,,,4,Other,Part,High,Mean Species Abundance index (Indigenous Lands),Community composition,,1. Local,Yes,No,No,1,0,,T,brown,white,Yes,,
